gene_name	gene_id	in_lincs
AC009473.1		False
AC093673.5		False
BIN1	274	True
CASP2	835	True
CASS4	57091	True
CTSH	1512	True
CYP27C1		False
EPHA1	2041	True
EPHA1-AS1		False
GPR141		False
GSTK1	373156	True
PICALM	8301	True
PLCG2_RP11-960L18.1_RN7SKP176		False
PLEKHA1	59338	True
PSMC3	5702	True
RABEP1	9135	True
RASGEF1C		False
RHOH	399	True
RP11-343H5.4		False
RP11-661A12.8		False
RP11-960L18.1		False
SIGLEC11		False
TAS2R60		False
USP6NL	9712	True
ZNF232-AS1		False
ZYX	7791	True
novelGene_813		False
