pert_id	pert_iname	gene_name	mean_z	median_z	n_signatures	observed_release
BRD-K70792160	10-DEBC	BIN1	-0.693850040435791	-0.693850040435791	1	CMap2020
BRD-K70792160	10-DEBC	CASP2	0.148049995303154	0.148049995303154	1	CMap2020
BRD-K70792160	10-DEBC	CASS4	-0.763450026512146	-0.763450026512146	1	CMap2020
BRD-K70792160	10-DEBC	CTSH	0.088049978017807	0.088049978017807	1	CMap2020
BRD-K70792160	10-DEBC	EPHA1	0.134550005197525	0.134550005197525	1	CMap2020
BRD-K70792160	10-DEBC	GSTK1	0.0754499733448028	0.0754499733448028	1	CMap2020
BRD-K70792160	10-DEBC	PICALM	0.3457500040531158	0.3457500040531158	1	CMap2020
BRD-K70792160	10-DEBC	PLEKHA1	0.3103500008583069	0.3103500008583069	1	CMap2020
BRD-K70792160	10-DEBC	PSMC3	-0.3738999962806701	-0.3738999962806701	1	CMap2020
BRD-K70792160	10-DEBC	RABEP1	0.5310499668121338	0.5310499668121338	1	CMap2020
BRD-K70792160	10-DEBC	RHOH	-0.2916499972343445	-0.2916499972343445	1	CMap2020
BRD-K70792160	10-DEBC	USP6NL	0.2063000053167343	0.2063000053167343	1	CMap2020
BRD-K70792160	10-DEBC	ZYX	0.1488499939441681	0.1488499939441681	1	CMap2020
BRD-A79431551	3-deazaadenosine	BIN1	0.1723791654221713	0.255074992775917	12	CMap2020
BRD-A79431551	3-deazaadenosine	CASP2	0.0868416639665762	0.1621249914169311	12	CMap2020
BRD-A79431551	3-deazaadenosine	CASS4	-0.4399749971926212	-0.2814249992370605	12	CMap2020
BRD-A79431551	3-deazaadenosine	CTSH	-0.1166666733721892	-0.2957500070333481	12	CMap2020
BRD-A79431551	3-deazaadenosine	EPHA1	-0.3057624970873197	-0.4311250150203705	12	CMap2020
BRD-A79431551	3-deazaadenosine	GSTK1	-0.4052624907344579	-0.3417499959468841	12	CMap2020
BRD-A79431551	3-deazaadenosine	PICALM	0.102120836575826	0.2291000038385391	12	CMap2020
BRD-A79431551	3-deazaadenosine	PLEKHA1	-0.0433583346505959	-0.0495499894022941	12	CMap2020
BRD-A79431551	3-deazaadenosine	PSMC3	-0.2395874888946612	-0.3367499709129333	12	CMap2020
BRD-A79431551	3-deazaadenosine	RABEP1	-0.1716041726370652	-0.1099250055849552	12	CMap2020
BRD-A79431551	3-deazaadenosine	RHOH	-0.2032583337277174	-0.2927749902009964	12	CMap2020
BRD-A79431551	3-deazaadenosine	USP6NL	0.1385958312700192	0.0455499999225139	12	CMap2020
BRD-A79431551	3-deazaadenosine	ZYX	-0.2471000005801518	-0.2330250069499015	12	CMap2020
BRD-K04430056	7-nitroindazole	BIN1	-0.3151500225067138	-0.3151500225067138	1	CMap2020
BRD-K04430056	7-nitroindazole	CASP2	-0.1866999864578247	-0.1866999864578247	1	CMap2020
BRD-K04430056	7-nitroindazole	CASS4	0.298799991607666	0.298799991607666	1	CMap2020
BRD-K04430056	7-nitroindazole	CTSH	-0.1670999974012375	-0.1670999974012375	1	CMap2020
BRD-K04430056	7-nitroindazole	EPHA1	-0.3982999920845032	-0.3982999920845032	1	CMap2020
BRD-K04430056	7-nitroindazole	GSTK1	-0.1240500062704086	-0.1240500062704086	1	CMap2020
BRD-K04430056	7-nitroindazole	PICALM	-0.7992500066757202	-0.7992500066757202	1	CMap2020
BRD-K04430056	7-nitroindazole	PLEKHA1	-0.2773000001907348	-0.2773000001907348	1	CMap2020
BRD-K04430056	7-nitroindazole	PSMC3	-0.5095499753952026	-0.5095499753952026	1	CMap2020
BRD-K04430056	7-nitroindazole	RABEP1	-0.739050030708313	-0.739050030708313	1	CMap2020
BRD-K04430056	7-nitroindazole	RHOH	-0.4611000120639801	-0.4611000120639801	1	CMap2020
BRD-K04430056	7-nitroindazole	USP6NL	0.7552000284194946	0.7552000284194946	1	CMap2020
BRD-K04430056	7-nitroindazole	ZYX	-0.2987499833106994	-0.2987499833106994	1	CMap2020
BRD-K61829047	7b-cis	BIN1	-0.005549999885261	-0.005549999885261	1	CMap2020
BRD-K61829047	7b-cis	CASP2	4.897049903869629	4.897049903869629	1	CMap2020
BRD-K61829047	7b-cis	CASS4	-0.6358500123023987	-0.6358500123023987	1	CMap2020
BRD-K61829047	7b-cis	CTSH	0.0719499960541725	0.0719499960541725	1	CMap2020
BRD-K61829047	7b-cis	EPHA1	0.120899997651577	0.120899997651577	1	CMap2020
BRD-K61829047	7b-cis	GSTK1	1.2570500373840332	1.2570500373840332	1	CMap2020
BRD-K61829047	7b-cis	PICALM	2.0540499687194824	2.0540499687194824	1	CMap2020
BRD-K61829047	7b-cis	PLEKHA1	0.1133499890565872	0.1133499890565872	1	CMap2020
BRD-K61829047	7b-cis	PSMC3	0.8366999626159668	0.8366999626159668	1	CMap2020
BRD-K61829047	7b-cis	RABEP1	-0.7368999719619751	-0.7368999719619751	1	CMap2020
BRD-K61829047	7b-cis	RHOH	-0.3170999884605407	-0.3170999884605407	1	CMap2020
BRD-K61829047	7b-cis	USP6NL	3.0357000827789307	3.0357000827789307	1	CMap2020
BRD-K61829047	7b-cis	ZYX	-0.2026499956846237	-0.2026499956846237	1	CMap2020
BRD-K88573743	A-443654	BIN1	-0.8829888105392456	-0.5102503895759583	10	CMap2020
BRD-K88573743	A-443654	CASP2	-0.3170090600848197	0.1132757142186164	10	CMap2020
BRD-K88573743	A-443654	CASS4	0.461046016216278	-0.2631949186325073	10	CMap2020
BRD-K88573743	A-443654	CTSH	-0.1182981289923191	-0.1460134573280811	10	CMap2020
BRD-K88573743	A-443654	EPHA1	-0.0583617448806762	-0.2525486648082733	10	CMap2020
BRD-K88573743	A-443654	GSTK1	0.9253857403993606	0.7533963024616241	10	CMap2020
BRD-K88573743	A-443654	PICALM	-0.6339597105979919	-0.6180190145969391	10	CMap2020
BRD-K88573743	A-443654	PLEKHA1	-0.2988229244947433	-0.3675542175769806	10	CMap2020
BRD-K88573743	A-443654	PSMC3	0.6589823573827743	0.4890833646059036	10	CMap2020
BRD-K88573743	A-443654	RABEP1	-1.5060604393482209	-1.0383400917053225	10	CMap2020
BRD-K88573743	A-443654	RHOH	0.0403620956465601	0.0923047950491309	10	CMap2020
BRD-K88573743	A-443654	USP6NL	-1.2703966736793515	-1.4558591842651367	10	CMap2020
BRD-K88573743	A-443654	ZYX	-0.3743669465184212	-0.5159818232059479	10	CMap2020
BRD-K49055432	A-66	BIN1	-0.0661927461624145	-0.0918466039001941	6	CMap2020
BRD-K49055432	A-66	CASP2	0.4570093279083569	0.3562424853444099	6	CMap2020
BRD-K49055432	A-66	CASS4	-0.1908699174722035	-0.2061486840248108	6	CMap2020
BRD-K49055432	A-66	CTSH	0.4146017630894978	0.4915818572044372	6	CMap2020
BRD-K49055432	A-66	EPHA1	-0.3759630247950554	-0.4028604701161384	6	CMap2020
BRD-K49055432	A-66	GSTK1	0.0221679334839185	0.0356464013457298	6	CMap2020
BRD-K49055432	A-66	PICALM	2.856055895487468e-07	0.0752686411142349	6	CMap2020
BRD-K49055432	A-66	PLEKHA1	-0.4347461884220441	-0.5621076971292496	6	CMap2020
BRD-K49055432	A-66	PSMC3	-0.0968856088196237	-0.0727480538189411	6	CMap2020
BRD-K49055432	A-66	RABEP1	-0.0199196760853131	0.0655973255634307	6	CMap2020
BRD-K49055432	A-66	RHOH	0.3875838567813237	0.4187308847904205	6	CMap2020
BRD-K49055432	A-66	USP6NL	-0.2092151343822479	0.0104750394821167	6	CMap2020
BRD-K49055432	A-66	ZYX	-0.3100705854594707	-0.4106872454285621	6	CMap2020
BRD-K41918892	A-769662	BIN1	-0.2601083343227704	-0.2513999789953232	6	CMap2020
BRD-K41918892	A-769662	CASP2	0.1913000058072308	0.1355750071816146	6	CMap2020
BRD-K41918892	A-769662	CASS4	-0.2937416570882002	-0.2800749987363815	6	CMap2020
BRD-K41918892	A-769662	CTSH	-0.3476416567961375	-0.1026499941945076	6	CMap2020
BRD-K41918892	A-769662	EPHA1	-0.3963333219289779	-0.2781999856233597	6	CMap2020
BRD-K41918892	A-769662	GSTK1	0.1264999955892563	0.15362498909235	6	CMap2020
BRD-K41918892	A-769662	PICALM	0.1261416698495547	0.1366249993443489	6	CMap2020
BRD-K41918892	A-769662	PLEKHA1	-0.4753500024477641	-0.589475005865097	6	CMap2020
BRD-K41918892	A-769662	PSMC3	-0.4913000067075093	-0.3979000002145767	6	CMap2020
BRD-K41918892	A-769662	RABEP1	0.1062500054637591	0.220949999988079	6	CMap2020
BRD-K41918892	A-769662	RHOH	0.1626083552837371	0.2269000113010406	6	CMap2020
BRD-K41918892	A-769662	USP6NL	0.2802833318710327	0.2676250040531158	6	CMap2020
BRD-K41918892	A-769662	ZYX	-0.5645166685183843	-0.5344499945640564	6	CMap2020
BRD-A29844814	ABT-202	BIN1	0.2604333360989888	0.0486750081181526	12	CMap2020
BRD-A29844814	ABT-202	CASP2	0.3579750116914511	0.1945750117301941	12	CMap2020
BRD-A29844814	ABT-202	CASS4	-0.1457333266735077	-0.3198499977588653	12	CMap2020
BRD-A29844814	ABT-202	CTSH	-0.1222416659196217	-0.2837999910116195	12	CMap2020
BRD-A29844814	ABT-202	EPHA1	-0.1607874942322572	-0.1437750086188316	12	CMap2020
BRD-A29844814	ABT-202	GSTK1	0.0905416669944922	0.2228999882936477	12	CMap2020
BRD-A29844814	ABT-202	PICALM	0.3886499957491954	0.2558249980211258	12	CMap2020
BRD-A29844814	ABT-202	PLEKHA1	-0.5122583210468292	-0.5550499856472015	12	CMap2020
BRD-A29844814	ABT-202	PSMC3	-0.4003500118851661	-0.3349500000476837	12	CMap2020
BRD-A29844814	ABT-202	RABEP1	-0.1464041694998741	-0.0885500013828277	12	CMap2020
BRD-A29844814	ABT-202	RHOH	-0.0519083440303802	0.0098000019788742	12	CMap2020
BRD-A29844814	ABT-202	USP6NL	-0.1148916607101758	-0.1070750057697296	12	CMap2020
BRD-A29844814	ABT-202	ZYX	0.229758333414793	0.0158999990671873	12	CMap2020
BRD-K37714784	ABT-724	BIN1	-0.0189333160718282	-0.369949996471405	6	CMap2020
BRD-K37714784	ABT-724	CASP2	-0.2563166736314694	0.1530499998480081	6	CMap2020
BRD-K37714784	ABT-724	CASS4	0.8102833231290182	0.8253500163555145	6	CMap2020
BRD-K37714784	ABT-724	CTSH	-0.4055500030517578	-0.1068499982357025	6	CMap2020
BRD-K37714784	ABT-724	EPHA1	0.6264499935011069	0.6906499862670898	6	CMap2020
BRD-K37714784	ABT-724	GSTK1	-0.2186833200976252	0.2826500004157424	6	CMap2020
BRD-K37714784	ABT-724	PICALM	0.315033337722222	0.2877500094473362	6	CMap2020
BRD-K37714784	ABT-724	PLEKHA1	-0.2548833390076955	-0.1863499879837036	6	CMap2020
BRD-K37714784	ABT-724	PSMC3	-0.1166499994384745	0.0591499977745115	6	CMap2020
BRD-K37714784	ABT-724	RABEP1	0.5915333231290182	0.4598000049591064	6	CMap2020
BRD-K37714784	ABT-724	RHOH	-0.3570999950170517	-0.4328500032424927	6	CMap2020
BRD-K37714784	ABT-724	USP6NL	-0.3193333322803179	-0.5100999921560287	6	CMap2020
BRD-K37714784	ABT-724	ZYX	-0.1363833360373973	0.1565500013530254	6	CMap2020
BRD-K56301217	ABT-737	BIN1	-0.1015631172519463	0.0316833183169364	13	CMap2020
BRD-K56301217	ABT-737	CASP2	0.0628826497839047	-0.0600000023841857	13	CMap2020
BRD-K56301217	ABT-737	CASS4	0.3631184972249545	-0.1496883034706115	13	CMap2020
BRD-K56301217	ABT-737	CTSH	0.1269201773863572	0.072510540485382	13	CMap2020
BRD-K56301217	ABT-737	EPHA1	0.4550078281989464	0.5550999641418457	13	CMap2020
BRD-K56301217	ABT-737	GSTK1	-0.0505263358354568	0.041700005531311	13	CMap2020
BRD-K56301217	ABT-737	PICALM	-0.1813611032871099	-0.2394500076770782	13	CMap2020
BRD-K56301217	ABT-737	PLEKHA1	-0.328093878351725	0.1542499959468841	13	CMap2020
BRD-K56301217	ABT-737	PSMC3	-0.0022544952539297	0.0038762688636779	13	CMap2020
BRD-K56301217	ABT-737	RABEP1	0.3796292130763714	0.2440734803676605	13	CMap2020
BRD-K56301217	ABT-737	RHOH	-0.046399213373661	-0.2186500430107116	13	CMap2020
BRD-K56301217	ABT-737	USP6NL	0.1936668318051558	-0.1540524363517761	13	CMap2020
BRD-K56301217	ABT-737	ZYX	0.0076349773086034	0.2842985093593597	13	CMap2020
BRD-K91623615	ABT-751	BIN1	1.8481500148773196	1.8481500148773196	1	CMap2020
BRD-K91623615	ABT-751	CASP2	0.572950005531311	0.572950005531311	1	CMap2020
BRD-K91623615	ABT-751	CASS4	0.8478000164031982	0.8478000164031982	1	CMap2020
BRD-K91623615	ABT-751	CTSH	1.1026999950408936	1.1026999950408936	1	CMap2020
BRD-K91623615	ABT-751	EPHA1	0.3657000064849853	0.3657000064849853	1	CMap2020
BRD-K91623615	ABT-751	GSTK1	-1.800950050354004	-1.800950050354004	1	CMap2020
BRD-K91623615	ABT-751	PICALM	2.0230000019073486	2.0230000019073486	1	CMap2020
BRD-K91623615	ABT-751	PLEKHA1	2.6171000003814697	2.6171000003814697	1	CMap2020
BRD-K91623615	ABT-751	PSMC3	-0.243350014090538	-0.243350014090538	1	CMap2020
BRD-K91623615	ABT-751	RABEP1	-0.865149974822998	-0.865149974822998	1	CMap2020
BRD-K91623615	ABT-751	RHOH	1.8828999996185305	1.8828999996185305	1	CMap2020
BRD-K91623615	ABT-751	USP6NL	-0.599399983882904	-0.599399983882904	1	CMap2020
BRD-K91623615	ABT-751	ZYX	-1.2813498973846436	-1.2813498973846436	1	CMap2020
BRD-K93176058	AC-55649	BIN1	0.5684499740600586	0.5684499740600586	1	CMap2020
BRD-K93176058	AC-55649	CASP2	-0.0820000171661377	-0.0820000171661377	1	CMap2020
BRD-K93176058	AC-55649	CASS4	-0.7299000024795532	-0.7299000024795532	1	CMap2020
BRD-K93176058	AC-55649	CTSH	1.4606499671936035	1.4606499671936035	1	CMap2020
BRD-K93176058	AC-55649	EPHA1	-0.8074499368667603	-0.8074499368667603	1	CMap2020
BRD-K93176058	AC-55649	GSTK1	0.175800010561943	0.175800010561943	1	CMap2020
BRD-K93176058	AC-55649	PICALM	-1.1518000364303589	-1.1518000364303589	1	CMap2020
BRD-K93176058	AC-55649	PLEKHA1	0.2738499939441681	0.2738499939441681	1	CMap2020
BRD-K93176058	AC-55649	PSMC3	-0.8875499963760376	-0.8875499963760376	1	CMap2020
BRD-K93176058	AC-55649	RABEP1	0.2837499976158142	0.2837499976158142	1	CMap2020
BRD-K93176058	AC-55649	RHOH	-2.1220500469207764	-2.1220500469207764	1	CMap2020
BRD-K93176058	AC-55649	USP6NL	1.4047000408172607	1.4047000408172607	1	CMap2020
BRD-K93176058	AC-55649	ZYX	-0.5644000172615051	-0.5644000172615051	1	CMap2020
BRD-K82928847	ACY-1215	BIN1	0.2211528511510955	0.2603562474250793	18	CMap2020
BRD-K82928847	ACY-1215	CASP2	-0.1190273919039302	0.0738760381937027	18	CMap2020
BRD-K82928847	ACY-1215	CASS4	0.0514494594600465	0.2110583707690239	18	CMap2020
BRD-K82928847	ACY-1215	CTSH	0.2835853141215112	0.1433999985456466	18	CMap2020
BRD-K82928847	ACY-1215	EPHA1	0.1408151702748404	0.0565334111452102	18	CMap2020
BRD-K82928847	ACY-1215	GSTK1	-0.7237481354839272	-0.5986500084400177	18	CMap2020
BRD-K82928847	ACY-1215	PICALM	0.3939374569389555	0.3535394966602325	18	CMap2020
BRD-K82928847	ACY-1215	PLEKHA1	0.3177693312366803	0.0013116300106048	18	CMap2020
BRD-K82928847	ACY-1215	PSMC3	0.2074852088052365	0.2565218508243561	18	CMap2020
BRD-K82928847	ACY-1215	RABEP1	0.1841296760572327	0.2155749946832656	18	CMap2020
BRD-K82928847	ACY-1215	RHOH	0.2485618301563792	0.1387281343340873	18	CMap2020
BRD-K82928847	ACY-1215	USP6NL	0.6951458429296812	0.3646749854087829	18	CMap2020
BRD-K82928847	ACY-1215	ZYX	-0.5345126291116079	-0.4247260093688965	18	CMap2020
BRD-K00615600	AG-14361	BIN1	-0.1826000064611435	-0.1826000064611435	1	CMap2020
BRD-K00615600	AG-14361	CASP2	-0.0811000019311904	-0.0811000019311904	1	CMap2020
BRD-K00615600	AG-14361	CASS4	-1.1489499807357788	-1.1489499807357788	1	CMap2020
BRD-K00615600	AG-14361	CTSH	0.7272000312805176	0.7272000312805176	1	CMap2020
BRD-K00615600	AG-14361	EPHA1	0.1203000023961067	0.1203000023961067	1	CMap2020
BRD-K00615600	AG-14361	GSTK1	0.6044000387191772	0.6044000387191772	1	CMap2020
BRD-K00615600	AG-14361	PICALM	-2.089650154113769	-2.089650154113769	1	CMap2020
BRD-K00615600	AG-14361	PLEKHA1	-0.0838499963283538	-0.0838499963283538	1	CMap2020
BRD-K00615600	AG-14361	PSMC3	-0.2046999931335449	-0.2046999931335449	1	CMap2020
