pert_id	pert_iname	gene_name	mean_z	median_z	n_signatures
BRD-K70792160	10-DEBC	BIN1	-0.693850040435791	-0.693850040435791	1
BRD-K70792160	10-DEBC	CASP2	0.148049995303154	0.148049995303154	1
BRD-K70792160	10-DEBC	CASS4	-0.763450026512146	-0.763450026512146	1
BRD-K70792160	10-DEBC	CTSH	0.088049978017807	0.088049978017807	1
BRD-K70792160	10-DEBC	EPHA1	0.13455000519752502	0.13455000519752502	1
BRD-K70792160	10-DEBC	GSTK1	0.07544997334480286	0.07544997334480286	1
BRD-K70792160	10-DEBC	PICALM	0.34575000405311584	0.34575000405311584	1
BRD-K70792160	10-DEBC	PLEKHA1	0.3103500008583069	0.3103500008583069	1
BRD-K70792160	10-DEBC	PSMC3	-0.37389999628067017	-0.37389999628067017	1
BRD-K70792160	10-DEBC	RABEP1	0.5310499668121338	0.5310499668121338	1
BRD-K70792160	10-DEBC	RHOH	-0.2916499972343445	-0.2916499972343445	1
BRD-K70792160	10-DEBC	USP6NL	0.20630000531673431	0.20630000531673431	1
BRD-K70792160	10-DEBC	ZYX	0.1488499939441681	0.1488499939441681	1
BRD-A79431551	3-deazaadenosine	BIN1	0.17237916542217135	0.25507499277591705	12
BRD-A79431551	3-deazaadenosine	CASP2	0.08684166396657626	0.16212499141693115	12
BRD-A79431551	3-deazaadenosine	CASS4	-0.43997499719262123	-0.28142499923706055	12
BRD-A79431551	3-deazaadenosine	CTSH	-0.11666667337218921	-0.2957500070333481	12
BRD-A79431551	3-deazaadenosine	EPHA1	-0.3057624970873197	-0.4311250150203705	12
BRD-A79431551	3-deazaadenosine	GSTK1	-0.40526249073445797	-0.34174999594688416	12
BRD-A79431551	3-deazaadenosine	PICALM	0.102120836575826	0.22910000383853912	12
BRD-A79431551	3-deazaadenosine	PLEKHA1	-0.043358334650595985	-0.04954998940229416	12
BRD-A79431551	3-deazaadenosine	PSMC3	-0.23958748889466128	-0.33674997091293335	12
BRD-A79431551	3-deazaadenosine	RABEP1	-0.17160417263706526	-0.10992500558495522	12
BRD-A79431551	3-deazaadenosine	RHOH	-0.2032583337277174	-0.2927749902009964	12
