pert_id	pert_iname	gene_name	mean_z	median_z	n_signatures
BRD-K70792160	10-DEBC	BIN1	0.20984654128551483	0.20984654128551483	1
BRD-K70792160	10-DEBC	CASP2	0.3684632480144501	0.3684632480144501	1
BRD-K70792160	10-DEBC	CASS4	-0.8495377898216248	-0.8495377898216248	1
BRD-K70792160	10-DEBC	CTSH	-0.17084407806396484	-0.17084407806396484	1
BRD-K70792160	10-DEBC	EPHA1	0.07070192694664001	0.07070192694664001	1
BRD-K70792160	10-DEBC	GSTK1	0.6579632759094238	0.6579632759094238	1
BRD-K70792160	10-DEBC	PICALM	0.12280753999948502	0.12280753999948502	1
BRD-K70792160	10-DEBC	PLEKHA1	0.09765756130218506	0.09765756130218506	1
BRD-K70792160	10-DEBC	PSMC3	-0.5681902170181274	-0.5681902170181274	1
BRD-K70792160	10-DEBC	RABEP1	0.5827516913414001	0.5827516913414001	1
BRD-K70792160	10-DEBC	RHOH	-0.5596238374710083	-0.5596238374710083	1
BRD-K70792160	10-DEBC	USP6NL	0.43048855662345886	0.43048855662345886	1
BRD-K70792160	10-DEBC	ZYX	0.6536144018173218	0.6536144018173218	1
BRD-K61033289	15-delta-prostaglandin-j2	BIN1	0.1993160843849182	0.1993160843849182	1
BRD-K61033289	15-delta-prostaglandin-j2	CASP2	-0.34742477536201477	-0.34742477536201477	1
BRD-K61033289	15-delta-prostaglandin-j2	CASS4	0.651887834072113	0.651887834072113	1
BRD-K61033289	15-delta-prostaglandin-j2	CTSH	-1.2808436155319214	-1.2808436155319214	1
BRD-K61033289	15-delta-prostaglandin-j2	EPHA1	-0.21645903587341309	-0.21645903587341309	1
BRD-K61033289	15-delta-prostaglandin-j2	GSTK1	-0.7213831543922424	-0.7213831543922424	1
BRD-K61033289	15-delta-prostaglandin-j2	PICALM	0.7373840808868408	0.7373840808868408	1
BRD-K61033289	15-delta-prostaglandin-j2	PLEKHA1	0.1726120561361313	0.1726120561361313	1
BRD-K61033289	15-delta-prostaglandin-j2	PSMC3	0.6152922511100769	0.6152922511100769	1
BRD-K61033289	15-delta-prostaglandin-j2	RABEP1	-0.7573428153991699	-0.7573428153991699	1
BRD-K61033289	15-delta-prostaglandin-j2	RHOH	0.7103078365325928	0.7103078365325928	1
BRD-K61033289	15-delta-prostaglandin-j2	USP6NL	0.3367261588573456	0.3367261588573456	1
BRD-K61033289	15-delta-prostaglandin-j2	ZYX	-0.9177451133728027	-0.9177451133728027	1
BRD-K92301463	16,16-dimethylprostaglandin-e2	BIN1	1.4777500629425049	1.4777500629425049	1
BRD-K92301463	16,16-dimethylprostaglandin-e2	CASP2	-0.43014997243881226	-0.43014997243881226	1
BRD-K92301463	16,16-dimethylprostaglandin-e2	CASS4	0.21480001509189606	0.21480001509189606	1
BRD-K92301463	16,16-dimethylprostaglandin-e2	CTSH	-1.1392500400543213	-1.1392500400543213	1
BRD-K92301463	16,16-dimethylprostaglandin-e2	EPHA1	-1.5832500457763672	-1.5832500457763672	1
BRD-K92301463	16,16-dimethylprostaglandin-e2	GSTK1	-0.4274500012397766	-0.4274500012397766	1
BRD-K92301463	16,16-dimethylprostaglandin-e2	PICALM	0.996649980545044	0.996649980545044	1
BRD-K92301463	16,16-dimethylprostaglandin-e2	PLEKHA1	-1.9954500198364258	-1.9954500198364258	1
BRD-K92301463	16,16-dimethylprostaglandin-e2	PSMC3	0.5066499710083008	0.5066499710083008	1
BRD-K92301463	16,16-dimethylprostaglandin-e2	RABEP1	-0.7886500358581543	-0.7886500358581543	1
BRD-K92301463	16,16-dimethylprostaglandin-e2	RHOH	-0.41680002212524414	-0.41680002212524414	1
BRD-K92301463	16,16-dimethylprostaglandin-e2	USP6NL	-2.0096499919891357	-2.0096499919891357	1
BRD-K92301463	16,16-dimethylprostaglandin-e2	ZYX	-0.4342999756336212	-0.4342999756336212	1
BRD-A20131130	2',5'-dideoxyadenosine	BIN1	-0.019895151257514954	-0.019895151257514954	1
BRD-A20131130	2',5'-dideoxyadenosine	CASP2	-0.10918371379375458	-0.10918371379375458	1
BRD-A20131130	2',5'-dideoxyadenosine	CASS4	-0.8781330585479736	-0.8781330585479736	1
BRD-A20131130	2',5'-dideoxyadenosine	CTSH	0.6833884119987488	0.6833884119987488	1
BRD-A20131130	2',5'-dideoxyadenosine	EPHA1	-0.2036864161491394	-0.2036864161491394	1
