pert_id	pert_iname	n_genes	n_positive_mr_effect	n_strong_precision_match	mean_mr_lincs_effect	median_mr_lincs_effect	sum_mr_lincs_effect	mean_precision_match	median_precision_match	sum_precision_match	mean_lincs_z	mean_mr_ivw_beta	median_mr_ivw_beta	fraction_positive_mr_effect	clinical_phase	moa	target	disease_area	indication	annotation_source	biology_note
BRD-K04623885	BIBR-1532	13	10	7	0.5872000123042942	0.3035184396814195	7.633600159955825	3.677973360623276	2.506804425765784	47.81365368810258	-0.4641660497738765	0.46811178153786825	0.8048867209111468	0.7692307692307693	Preclinical/tool	telomerase inhibitor	TERT/telomerase	oncology/tool compound		manual: telomerase inhibitor literature/opnMe	Strongest transcriptomic match; tool telomerase inhibitor, so prioritize as a signature lead rather than an immediately plausible microglia therapeutic.
BRD-K71799778	BML-259	13	8	7	0.4539941774017844	0.5399262739292728	5.901924306223197	2.5640290237678567	3.0092361392258886	33.33237730898214	-0.4207269228421725	0.46811178153786825	0.8048867209111468	0.6153846153846154	not annotated	not annotated	not annotated	not annotated		not annotated	
BRD-K08451418	BRD-K08451418	13	9	5	0.2527382356449265	0.19987848306112205	3.2855970633840443	2.147354126272946	1.3552464585414306	27.915603641548298	-0.1894391935605269	0.46811178153786825	0.8048867209111468	0.6923076923076923	not annotated	not annotated	not annotated	not annotated		not annotated	
BRD-K75532464	FTI-276	13	9	7	0.28438763364817526	0.34480995302144246	3.6970392374262784	2.111286891331076	2.4787706001240375	27.446729587303988	-0.21944109149850327	0.46811178153786825	0.8048867209111468	0.6923076923076923	not annotated	not annotated	not annotated	not annotated		not annotated	
BRD-K28360340	TW-37	13	9	6	0.2940726273096106	0.3461289624529163	3.8229441550249375	1.977592042055625	1.1207249124233019	25.708696546723125	-0.1316576863710697	0.46811178153786825	0.8048867209111468	0.6923076923076923	Preclinical	BCL inhibitor	BCL2|BCL2L1|MCL1	not annotated		Broad Repurposing Hub	
BRD-A84481105	thioridazine	13	7	6	0.2495613625662154	0.09112661694220346	3.2442977133608	1.8221216217475784	0.8249897343937157	23.68758108271852	-0.34525319991203457	0.46811178153786825	0.8048867209111468	0.5384615384615384	Withdrawn	dopamine receptor antagonist	DRD1|DRD2|DRD3|DRD4|DRD5|HRH1|HTR1A|HTR2A|HTR2C|HTR6|HTR7	not annotated		Broad Repurposing Hub	
BRD-K56343971	vemurafenib	13	9	7	0.23848402470697733	0.280515108575876	3.100292321190705	1.7818145620247645	2.147149569051477	23.16358930632194	0.03174999470894152	0.46811178153786825	0.8048867209111468	0.6923076923076923	Launched	RAF inhibitor	BRAF|RAF1	oncology	melanoma	Broad Repurposing Hub	
BRD-K89687904	PKCbeta-inhibitor	13	10	7	0.23082342696579725	0.2126546736683572	3.0007045505553642	1.7273864339087124	2.072486057132613	22.45602364081326	-0.17562780815821427	0.46811178153786825	0.8048867209111468	0.7692307692307693	not annotated	not annotated	not annotated	not annotated		not annotated	
BRD-A63646118	fumonisin-b1	13	9	4	0.21007502537964148	0.18431932667025847	2.7309753299353394	1.6793507629837374	1.0109487303612195	21.831559918788585	-0.11933076954804932	0.46811178153786825	0.8048867209111468	0.6923076923076923	Preclinical	not annotated	CERS1	not annotated		not annotated	
BRD-K78867378	MW-A1-12	13	9	6	0.22017843994741318	0.24157840060419133	2.862319719316371	1.6773750259425575	1.4641922510073433	21.805875337253248	-0.13150498270988467	0.46811178153786825	0.8048867209111468	0.6923076923076923	not annotated	not annotated	not annotated	not annotated		not annotated	
BRD-K01779529	fluoropyruvate	13	9	6	0.24857245128217986	0.1607499867677688	3.231441866668338	1.671023081527243	1.2678921889768113	21.72330005985416	-0.38020769564005047	0.46811178153786825	0.8048867209111468	0.6923076923076923	not annotated	not annotated	not annotated	not annotated		not annotated	
BRD-K95609758	BMS-191011	13	7	4	0.28342815406818567	0.07299496994678031	3.684566002886414	1.5965459238289148	0.7113930526231682	20.75509700977589	-0.3613446091230099	0.46811178153786825	0.8048867209111468	0.5384615384615384	Preclinical	potassium channel activator	KCNMA1	not annotated		Broad Repurposing Hub	
