pert_id	pert_iname	n_genes	slope	slope_se	slope_z	p_protective	p_two_sided	sum_wx2	protective_slope	minus_log10_p_protective	clinical_phase	moa	target	disease_area	indication	annotation_source	biology_note
BRD-K89687904	PKCbeta-inhibitor	13.0	-1.1242530972574614	0.07958504440993154	-14.126436764508032	1.3051069497466951e-45	2.6102138994933902e-45	157.88361949867874	1.1242530972574614	44.88435389768842	not annotated	not annotated	not annotated	not annotated		not annotated	
BRD-K08451418	BRD-K08451418	13.0	-0.8170123214980972	0.05847805369417366	-13.971263916731527	1.1672332023206664e-44	2.334466404641333e-44	292.42478588032327	0.8170123214980972	43.932842367293865	not annotated	not annotated	not annotated	not annotated		not annotated	
BRD-K75532464	FTI-276	13.0	-0.8308640651719394	0.06286370739046712	-13.21691162774047	3.5041454252431585e-40	7.008290850486317e-40	253.04631662630234	0.8308640651719394	39.455417878511355	not annotated	not annotated	not annotated	not annotated		not annotated	
BRD-K56343971	vemurafenib	13.0	-0.856225187673214	0.06721712420616498	-12.738200239674688	1.8133231696231652e-37	3.6266463392463304e-37	221.32992881665413	0.856225187673214	36.74152478924333	Launched	RAF inhibitor	BRAF|RAF1	oncology	melanoma	Broad Repurposing Hub	
BRD-K71799778	BML-259	13.0	-0.7127189046776627	0.0581569645192874	-12.255091209949478	7.888586615032117e-35	1.5777173230064234e-34	295.66270014451936	0.7127189046776627	34.10300080164205	not annotated	not annotated	not annotated	not annotated		not annotated	
BRD-K78867378	MW-A1-12	13.0	-0.8838629781957853	0.07236292385825001	-12.214307148881424	1.303565190734174e-34	2.607130381468348e-34	190.97116046744904	0.8838629781957853	33.88486724507243	not annotated	not annotated	not annotated	not annotated		not annotated	
BRD-A63646118	fumonisin-b1	13.0	-0.8178371901884559	0.06754900504060521	-12.107316602174018	4.830151124091894e-34	9.660302248183787e-34	219.16040131649018	0.8178371901884559	33.3160392809809	Preclinical	not annotated	CERS1	not annotated		not annotated	
BRD-K04623885	BIBR-1532	13.0	-0.3853716730249369	0.03403746167086889	-11.321986250072193	5.106564779620443e-30	1.0213129559240886e-29	863.1487966609709	0.3853716730249369	29.291871154453766	Preclinical/tool	telomerase inhibitor	TERT/telomerase	oncology/tool compound		manual: telomerase inhibitor literature/opnMe	Strongest transcriptomic match; tool telomerase inhibitor, so prioritize as a signature lead rather than an immediately plausible microglia therapeutic.
BRD-K69181860	ARG-CSC-91	13.0	-1.081524000031059	0.09584153839321755	-11.284501669764472	7.826305497147266e-30	1.5652610994294532e-29	108.86604550300939	1.081524000031059	29.106443203568514	not annotated	not annotated	not annotated	not annotated		not annotated	
BRD-K09907482	PRL-3-inhibitor-I	13.0	-1.2564989583995514	0.1117742487582006	-11.24139927003862	1.2765160052417403e-29	2.5530320104834806e-29	80.04173257179906	1.2564989583995514	28.893973735544733	not annotated	not annotated	not annotated	not annotated		not annotated	
