pert_id	pert_iname	n_target_genes	n_protective_genes	n_strong_protective_genes	n_opposing_genes	mean_protective_push_z	median_protective_push_z	summed_weighted_push	total_weight	min_n_signatures	total_gene_signatures	weighted_mean_protective_push_z	fraction_genes_protective
BRD-K04623885	BIBR-1532	13	10	6	3	0.7109644550543565	0.4578827023506164	75.38641340777492	122.69809676726929	1	13	0.6144057275050159	0.7692307692307693
BRD-K41895714	AS-605240	13	6	5	7	-0.1409686138996711	-0.156458705663681	26.495127761297233	122.69809676726929	1	13	0.21593756104915413	0.46153846153846156
BRD-K67566344	KU-0063794	13	6	5	7	-0.4465922713279724	-1.3275500535964966	-26.92215838280004	122.69809676726929	1	13	-0.21941789719742208	0.46153846153846156
BRD-A77216878	manumycin-a	13	6	5	7	-0.3297923161433293	-0.833899974822998	-58.52203958751586	122.69809676726929	1	13	-0.4769596361263779	0.46153846153846156
BRD-K60623809	SU-11652	13	6	5	7	-1.0395000003851378	-1.0885000228881836	-68.53758405866996	122.69809676726929	1	13	-0.5585871815817188	0.46153846153846156
BRD-K09635314	m-3M3FBS	13	5	5	8	-0.9621984316752508	-1.6820194721221924	-174.8995000819436	122.69809676726929	1	13	-1.4254459090240708	0.38461538461538464
BRD-A35588707	teniposide	13	7	4	6	0.24283075447265917	0.0951499938964843	34.9293760610674	122.69809676726929	1	13	0.2846774072406402	0.5384615384615384
BRD-A13122391	triptolide	13	9	4	4	0.3720554709434509	0.3265275955200195	15.252101982229025	122.69809676726929	1	13	0.12430593777798228	0.6923076923076923
BRD-K15409150	penfluridol	13	8	4	5	0.2658846229314804	0.5813000202178955	12.061832461219149	122.69809676726929	1	13	0.09830496787654118	0.6153846153846154
BRD-K36927236	glibenclamide	13	6	4	7	0.16582306646383727	-0.0975999981164932	-3.791037449259118	122.69809676726929	1	13	-0.030897279983485515	0.46153846153846156
BRD-K18190982	COT-10b	13	8	4	5	-0.02409612444730906	0.1953999996185302	-29.55244435858533	122.69809676726929	1	13	-0.24085495323240158	0.6153846153846154
BRD-K78959463	FPL-64176	13	6	4	7	-0.3862346273202164	-0.6927499771118164	-33.39788934063506	122.69809676726929	1	13	-0.2721956592691356	0.46153846153846156
BRD-K43620258	CHEMBL-399379	13	8	4	5	-0.007903860165522615	0.621399998664856	-33.418661725515655	122.69809676726929	1	13	-0.2723649559854489	0.6153846153846154
