pert_iname	n_target_genes	n_protective_genes	n_strong_protective_genes	weighted_mean_protective_push_z	fraction_genes_protective	min_n_signatures
BIBR-1532	13	10	6	0.6144057275050159	0.7692307692307693	1
AS-605240	13	6	5	0.2159375610491541	0.4615384615384615	1
KU-0063794	13	6	5	-0.219417897197422	0.4615384615384615	1
manumycin-a	13	6	5	-0.4769596361263779	0.4615384615384615	1
SU-11652	13	6	5	-0.5585871815817188	0.4615384615384615	1
m-3M3FBS	13	5	5	-1.4254459090240708	0.3846153846153846	1
teniposide	13	7	4	0.2846774072406402	0.5384615384615384	1
triptolide	13	9	4	0.1243059377779822	0.6923076923076923	1
penfluridol	13	8	4	0.0983049678765411	0.6153846153846154	1
glibenclamide	13	6	4	-0.0308972799834855	0.4615384615384615	1
COT-10b	13	8	4	-0.2408549532324015	0.6153846153846154	1
FPL-64176	13	6	4	-0.2721956592691356	0.4615384615384615	1
CHEMBL-399379	13	8	4	-0.2723649559854489	0.6153846153846154	1
NSC-632839	13	6	4	-0.3190484867512234	0.4615384615384615	1
SCH-79797	13	5	4	-0.4007635487066084	0.3846153846153846	1
curcumin	13	4	4	-0.4107705923091068	0.3076923076923077	1
TL-HRAS-61	13	5	4	-0.5552814913178455	0.3846153846153846	1
CD-1530	13	6	4	-0.5625748110367206	0.4615384615384615	1
calcitriol	13	5	4	-0.7460236475035815	0.3846153846153846	1
necrostatin-1	13	5	4	-1.0284017189141528	0.3846153846153846	1
PRIMA1	13	4	4	-1.081805912147287	0.3076923076923077	1
narciclasine	13	4	4	-1.3637589727595785	0.3076923076923077	1
DC-45-A2	13	5	4	-1.5910603876330864	0.3846153846153846	1
BML-259	13	8	3	0.4584015116927913	0.6153846153846154	1
myriocin	13	8	3	0.2591315710770298	0.6153846153846154	1
serdemetan	13	9	3	0.2441701710105129	0.6923076923076923	1
CHEMBL-1222381	13	8	3	0.2286739677509268	0.6153846153846154	1
RS-23597-190	13	7	3	0.2134172396964815	0.5384615384615384	1
pemetrexed	13	8	3	0.2096311055971752	0.6153846153846154	1
AZD-8055	13	7	3	0.2034825380169126	0.5384615384615384	1
BRD-K71726959	13	8	3	0.1944206850484311	0.6153846153846154	1
losartan	13	7	3	0.1742581093016332	0.5384615384615384	1
BAY-K-8644-(S)-(-)	13	6	3	0.1609106325056116	0.4615384615384615	1
PIK-90	13	6	3	0.15271346485859	0.4615384615384615	1
zileuton	13	8	3	0.150337844005551	0.6153846153846154	1
PT-630	13	7	3	0.1403260449309498	0.5384615384615384	1
BO2-inhibits-RAD51	13	6	3	0.1375863382709276	0.4615384615384615	1
Gly-Gly-PALO	13	5	3	0.126145014478417	0.3846153846153846	1
CI-976	13	9	3	0.0693947625444989	0.6923076923076923	1
AZD-7545	13	5	3	0.063079201345949	0.3846153846153846	1
JZL-184	13	4	3	0.0309821696545784	0.3076923076923077	1
SB-216763	13	5	3	0.0066490196875575	0.3846153846153846	1
CD-437	13	6	3	-0.062120887801195	0.4615384615384615	1
BRD-A36275421	13	7	3	-0.1086153338540923	0.5384615384615384	1
auranofin	13	5	3	-0.1947869984475002	0.3846153846153846	1
AKT-inhibitor-IV	13	6	3	-0.2116097639095736	0.4615384615384615	1
sildenafil	13	6	3	-0.3005169120342131	0.4615384615384615	1
manumycin-a	13	6	3	-0.31061582356116	0.4615384615384615	1
ABT-737	13	4	3	-0.3723618612804769	0.3076923076923077	1
Ro-28-1675	13	5	3	-0.4373940497519214	0.3846153846153846	1
