gene_name	n_coloc	max_h4	mean_h4	max_gwas_z_abs	protective_score	total_weight	mean_mr_wald_beta	median_mr_wald_beta	mr_ivw_beta	mr_ivw_se	mr_n	mr_ivw_z	mr_ivw_p	protective_expression_direction	protective_direction_label	abs_protective_score
EPHA1-AS1	2	0.999999603	0.999999603	14.408701030927835	-2.0	2.0	0.8506062731271777	0.8506062731271777	0.8507889100451131	0.05630564848625661	2	15.11018757297109	1.3874423929040398e-51	-1.0	decrease	2.0
ZYX	2	0.999998542	0.9999970725	6.876576576576576	-2.0	2.0	0.8055292002385006	0.8055292002385006	0.8048867209111468	0.11045787982946528	2	7.2868202988668855	3.173557474406893e-13	-1.0	decrease	2.0
BIN1	4	0.999914292	0.9982065285	5.939106382978723	-4.0	4.0	1.0	1.0	1.0	0.1285664880564894	4	7.778076659919504	7.363544666516711e-15	-1.0	decrease	4.0
TAS2R60	1	0.9998918	0.9998918	4.508150406504065	-1.0	1.0	0.768850265525991	0.768850265525991	0.7688502655259911	0.21536898285670455	1	3.5699210505049583	0.0003570888323882243	-1.0	decrease	1.0
RP11-960L18.1	2	0.999121997	0.999049522	7.86784126984127	-2.0	2.0	0.9491837693991636	0.9491837693991636	0.944620519289389	0.11962140195292247	2	7.89675178410924	2.862656525719341e-15	-1.0	decrease	2.0
CYP27C1	4	0.998687112	0.99833355525	5.199736842105263	-4.0	4.0	0.986048361307674	0.986048361307674	0.9854515634294728	0.13352747009187532	4	7.380141050762214	1.5812192423943973e-13	-1.0	decrease	4.0
RASGEF1C	2	0.997078442	0.9968482455	7.2321139705882365	-2.0	2.0	1.0	1.0	1.0	0.14192274239996064	2	7.04608706884935	1.8401913315909594e-12	-1.0	decrease	2.0
novelGene_813	1	0.997069282	0.997069282	7.847130730050933	-1.0	1.0	1.0	1.0	1.0	0.18024311041519073	1	5.548062268213726	2.8885301059390645e-08	-1.0	decrease	1.0
AC093673.5	2	0.996382958	0.9738688074999999	4.2849831649831644	-2.0	2.0	0.8453433098744874	0.8453433098744874	0.8433628107879351	0.19892079114487968	2	4.239691617623268	2.2382706171281407e-05	-1.0	decrease	2.0
PLCG2_RP11-960L18.1_RN7SKP176	1	0.993119429	0.993119429	4.778004535147392	1.0	1.0	-0.7873183125957479	-0.7873183125957479	-0.7873183125957479	0.3937371657205349	1	-1.9996037487468667	0.04554306883078449	1.0	increase	1.0
USP6NL	2	0.986739805	0.984928451	5.991691842900303	-2.0	2.0	0.9291252977762017	0.9291252977762017	0.9291301181013883	0.14991559804730115	2	6.19768810052861	5.729854239728191e-10	-1.0	decrease	2.0
CASS4	2	0.983409927	0.97844285	6.8278888888888885	-2.0	2.0	0.8157850836033633	0.8157850836033633	0.8164001879109127	0.11482516660298478	2	7.109941244271543	1.1609236659320596e-12	-1.0	decrease	2.0
SIGLEC11	2	0.982241222	0.9782856955	10.258376068376068	-2.0	2.0	1.0	1.0	1.0	0.10064467421353415	2	9.935945521353036	2.9040759026664397e-23	-1.0	decrease	2.0
CASP2	2	0.980530944	0.928077414	4.934071661237785	-2.0	2.0	1.0	1.0	1.0	0.22370990775135563	2	4.470074705459442	7.819228086089452e-06	-1.0	decrease	2.0
CTSH	2	0.979826373	0.9543229959999999	5.595764705882353	2.0	2.0	-0.6475998824775442	-0.6475998824775442	-0.6531917505468305	0.11641296874495663	2	-5.61098782711981	2.011749175613524e-08	1.0	increase	2.0
PLEKHA1	2	0.973750604	0.9736530114999999	8.013560830860534	-2.0	2.0	0.9718066403252352	0.9718066403252352	0.9718639565544818	0.121077829830582	2	8.026770531932733	1.0007201221865392e-15	-1.0	decrease	2.0
